Game_ID,Title,Description,Tags,Price_INR,Min_RAM_GB,Min_GPU_Tier,Steam_AppID
101,Uncharted: Legacy of Thieves Collection,Seek your fortune and leave your mark on the map in a globe-trotting cinematic action-adventure filled with high-stakes thrills.,"Action, Adventure, Cinematic, Treasure Hunting",3299,8,3,1659420
102,Cities: Skylines,A modern take on the classic city simulation. Realize the thrill and hardships of creating and maintaining a real city with complex economies.,"City Builder, Simulation, Management, Sandbox",850,4,2,255710
103,Forza Horizon 5,Explore the vibrant and ever-evolving open world landscapes of Mexico with limitless driving action in the world's greatest cars.,"Racing, Open World, Driving, Multiplayer",3499,8,4,1551360
104,Resident Evil 4,"Survival is just the beginning. Six years have passed since the biological disaster in Raccoon City, and a new terrifying rescue mission awaits.","Horror, Survival, Zombies, Shooter",3599,8,4,2050650
105,Slay the Spire,We fused card games and roguelikes together to make the best single player deckbuilder we could. Climb the spire and conquer your foes.,"Deckbuilder, Roguelike, Card Game, Strategy",899,2,1,646570
106,Tekken 8,"Get ready for the next chapter in the legendary fighting game franchise, featuring brand new mechanics and stunning next-gen visuals.","Fighting, Martial Arts, Competitive, Arcade",4199,8,4,1778820
107,Celeste,"Help Madeline survive her inner demons on her journey to the top of Celeste Mountain in this super-tight, narrative-driven platformer.","Platformer, Pixel Graphics, Difficult, Story Rich",529,2,1,504230
108,Crusader Kings III,"Guide a royal dynasty through the centuries in this grand strategy epic. Secure your bloodline through diplomacy, war, and political marriages.","Grand Strategy, Historical, Simulation, RPG",1699,6,2,1158310
109,Overcooked! 2,Journey back to the Onion Kingdom and assemble your team of chefs in chaotic couch co-op where communication is the only recipe for success.,"Co-op, Cooking, Casual, Family Friendly",850,4,1,728880
110,Return of the Obra Dinn,"An insurance adventure with minimal color. In 1802, a merchant ship washed into port with no crew. You must deduce what happened to them all.","Puzzle, Detective, Mystery, Retro",529,4,1,653530
111,GTA V,"An action-packed open-world adventure set in the sprawling city of Los Santos. Players can explore a massive map, engage in thrilling heists, drive exotic vehicles, and experience a gripping crime drama with multiple playable characters.","Action, Open World, Adventure, Crime, Driving, Multiplayer",999,8,3,271590
112,Valorant,"A highly competitive 5v5 tactical first-person shooter where precise gunplay meets unique agent abilities. Choose from a diverse roster of agents, each with specialized skills, and compete in intense rounds of attack and defense.","FPS, Multiplayer, Competitive, Tactical Shooter, Team-Based",0,4,2,0
113,The Witcher 3,"Embark on a grand open-world adventure as Geralt of Rivia, a monster hunter searching for his adopted daughter. Navigate a war-torn fantasy realm filled with moral choices, epic quests, and richly detailed storytelling in one of the greatest RPGs ever made.","RPG, Open World, Story Rich, Adventure, Fantasy, Action",1499,8,3,292030
114,Stardew Valley,"Escape to the countryside and build the farm of your dreams in this charming indie simulation. Plant crops, raise animals, mine for resources, fish in peaceful rivers, and build relationships with the quirky residents of Pelican Town.","Simulation, Indie, Chill, Farming, Relaxing, Sandbox",499,4,1,413150
115,Cyberpunk 2077,"Dive into the neon-soaked open world of Night City in this action-packed RPG. Customize your character, make choices that shape the story, engage in intense first-person combat, and explore a sprawling futuristic metropolis filled with danger and opportunity.","RPG, Open World, Sci-Fi, Action, Adventure, FPS, Story Rich",2999,12,4,1091500
116,Minecraft,"The ultimate open-world sandbox adventure where creativity knows no bounds. Build anything from simple shelters to massive castles, explore vast procedurally generated worlds, survive against hostile creatures, and embark on adventures with friends in multiplayer.","Sandbox, Survival, Creative, Open World, Adventure, Multiplayer, Building",1199,4,1,0
117,Apex Legends,"A fast-paced free-to-play battle royale shooter featuring squad-based gameplay. Drop into the arena with a team of three, choose from unique characters called Legends, and fight to be the last squad standing in high-octane combat.","FPS, Battle Royale, Multiplayer, Action, Competitive, Shooter",0,8,3,1172470
118,Age of Empires IV,"A real-time strategy game where players build thriving civilizations and lead massive armies to victory across historical campaigns. Gather resources, research technologies, and wage epic warfare spanning from the Dark Ages to the Renaissance.","Strategy, RTS, Historical, Simulation, Warfare, Competitive",1999,8,2,1466860
119,Hades,"Fight your way out of the Greek underworld in this award-winning roguelike action game. Battle through hordes of mythological enemies with fast-paced combat, unlock powerful abilities, and unravel a rich narrative that deepens with every escape attempt.","Indie, Rogue-like, Action, Adventure, Mythology, Story Rich",569,8,2,1145360
120,Microsoft Flight Simulator,"Experience the thrill of flight in the most realistic aviation simulator ever created. Fly over breathtaking real-world landscapes, pilot a wide variety of aircraft from small prop planes to massive airliners, and explore an open world that spans the entire globe.","Simulation, Realistic, Open World, Flying, Exploration, Adventure",3999,16,5,1250410