gpu_name,manufacturer,benchmark_score,graphics_api_score,vram_gb,release_year
RTX 3090 Ti,NVIDIA,29094,210406.0,,2022
RTX 3080 Ti,NVIDIA,26887,192190.0,,2021
RTX 3090,NVIDIA,26395,193968.0,,2020
RX 6900 XT,AMD,25458,136693.0,,2020
RTX 3080,NVIDIA,24853,171433.0,,2020
RTX 3070 Ti,NVIDIA,23367,139298.0,,2021
RX 6800 XT,AMD,23364,136290.0,,2020
RTX A5000,NVIDIA,22867,156140.0,,2021
RTX A6000,NVIDIA,22122,178059.0,,2021
RTX 3070,NVIDIA,22093,128259.0,,2020
RTX 2080 Ti,NVIDIA,21796,151444.0,,2018
RTX A4500,NVIDIA,21546,163533.0,,2022
RX 6800,AMD,20667,107762.0,,2020
RTX 3060 Ti,NVIDIA,20206,114665.0,,2020
TITAN RTX,NVIDIA,20169,138830.0,,2018
Quadro RTX 6000,NVIDIA,19692,132375.0,,2018
RTX 2080 SUPER,NVIDIA,19519,111542.0,,2019
TITAN Xp,NVIDIA,19508,70819.0,,2020
RTX 3080 Ti Laptop GPU,NVIDIA,19507,125090.0,,2022
Quadro RTX 8000,NVIDIA,19126,119838.0,,2019
RX 6700 XT,AMD,18993,86536.0,,2021
RTX A4000,NVIDIA,18988,108029.0,,2021
TITAN V,NVIDIA,18816,152587.0,,2017
PRO W6800,AMD,18802,97754.0,,2021
RTX 2080,NVIDIA,18732,104573.0,,2018
TITAN Xp COLLECTORS EDITION,NVIDIA,18721,55651.0,,2017
RTX 3070 Ti Laptop GPU,NVIDIA,18490,114243.0,,2022
GTX 1080 Ti,NVIDIA,18284,58302.0,11.0,2017
RTX 2070 SUPER,NVIDIA,18168,96013.0,,2019
Quadro GV100,NVIDIA,17675,162000.0,,2018
TITAN V CEO Edition,NVIDIA,16988,,,2018
RTX 3060,NVIDIA,16958,90158.0,,2021
RX 5700 XT,AMD,16892,65069.0,,2019
Pro VII,AMD,16853,85607.0,,2020
VII,AMD,16767,73980.0,,2019
RX 5700 XT 50th Anniversary,AMD,16650,62128.0,,2019
RTX 3080 Laptop GPU,NVIDIA,16522,118582.0,,2021
RTX 2060 SUPER,NVIDIA,16514,84667.0,,2019
RTX A4000 Laptop GPU,NVIDIA,16297,99503.0,,2021
RTX A5000 Laptop GPU,NVIDIA,16273,116565.0,,2021
Quadro RTX 5000,NVIDIA,16260,98502.0,,2019
Tesla V100 SXM2 16GB,NVIDIA,16235,173360.0,,2019
Quadro GP100,NVIDIA,16203,87744.0,,2017
RTX 2070,NVIDIA,16079,85119.0,,2018
RadeonT RX 6850M,AMD,15899,,,2022
RX 6600 XT,AMD,15853,73476.0,,2021
Quadro P6000,NVIDIA,15811,60579.0,,2016
Quadro RTX 4000,NVIDIA,15515,82076.0,,2019
GTX 1080,NVIDIA,15265,49137.0,8.0,2016
RTX 3070 Laptop GPU,NVIDIA,15231,106182.0,,2021
RTX 2080 (Mobile),NVIDIA,15107,,,2019
Pro W5700,AMD,15085,53289.0,,2020
Quadro RTX 5000 (Mobile),NVIDIA,14832,,,2019
Pro Vega II,AMD,14738,93811.0,,2020
RX 5700,AMD,14729,53510.0,,2019
RX Vega 64,AMD,14636,58456.0,,2017
Pro Vega 64X,AMD,14630,69634.0,,2021
GTX 1070 Ti,NVIDIA,14500,45948.0,,2017
RTX 2070 Super with Max Q Design,NVIDIA,14261,77930.0,,2020
PRO W6600,AMD,14212,68311.0,,2021
Pro WX 8200,AMD,14110,62892.0,,2018
RTX 2080 Super with Max Q Design,NVIDIA,14020,87469.0,,2020
RTX 2060,NVIDIA,13953,69873.0,,2019
Quadro RTX 5000 with Max Q Design,NVIDIA,13893,85977.0,,2019
RX 6600,AMD,13881,71228.0,,2021
GTX 980 Ti,NVIDIA,13864,37607.0,,2015
RX 5600 XT,AMD,13836,54177.0,,2020
Vega Frontier Edition,AMD,13748,63066.0,,2017
RTX A2000 12GB,NVIDIA,13688,81296.0,,2022
RTX 2080 with Max Q Design,NVIDIA,13681,85454.0,,2019
TITAN X,NVIDIA,13660,,,2016
RX Vega 56,AMD,13636,55009.0,,2017
Quadro RTX 4000 with Max Q Design,NVIDIA,13622,65173.0,,2019
GTX 1070,NVIDIA,13482,41308.0,8.0,2016
Tesla T10,NVIDIA,13264,,,2020
RTX A3000 Laptop GPU,NVIDIA,13263,82893.0,,2021
Pro WX 9100,AMD,13241,64132.0,,2017
GTX TITAN X,NVIDIA,13173,36204.0,,2015
RTX A2000,NVIDIA,13128,72918.0,,2021
Quadro RTX 4000 (Mobile),NVIDIA,13008,,,2019
Pro V520 MxGPU,AMD,12853,61506.0,,2020
GTX 1660 SUPER,NVIDIA,12732,60517.0,,2019
RTX 3050,NVIDIA,12718,66925.0,,2022
RTX 3060 Laptop GPU,NVIDIA,12674,87446.0,,2021
Pro 5700 XT,AMD,12537,52376.0,,2020
Pro Vega 64,AMD,12402,68457.0,,2018
Pro Vega 56,AMD,12386,63022.0,,2018
RTX 2070 (Mobile),NVIDIA,12354,,,2019
Quadro P5200 with Max Q Design,NVIDIA,12323,47911.0,,2018
Quadro M6000 24GB,NVIDIA,12264,33864.0,,2016
Quadro P5200,NVIDIA,12144,48032.0,,2018
RTX 2070 with Max Q Design,NVIDIA,12062,74680.0,,2019
RX 6700S,AMD,11989,72317.0,,2022
Quadro P5000,NVIDIA,11976,49229.0,,2016
Quadro P4200 with Max Q Design,NVIDIA,11869,40459.0,,2018
Pro 5700,AMD,11844,49976.0,,2020
GTX 1660 Ti,NVIDIA,11794,60430.0,,2019
GTX 1660,NVIDIA,11695,55748.0,,2019
Tesla M40 24GB,NVIDIA,11658,33410.0,,2021
GTX 1080 with Max Q Design,NVIDIA,11507,50722.0,,2017
Pro Vega 48,AMD,11504,54173.0,,2019
RX 6700M,AMD,11499,71903.0,,2021
Quadro P4000,NVIDIA,11422,40941.0,,2017
Quadro M6000,NVIDIA,11397,38339.0,,2015
RTX 2060 (Mobile),NVIDIA,11355,,,2019
GTX 980,NVIDIA,11237,29945.0,,2014
Quadro RTX 3000,NVIDIA,11122,61866.0,,2019
Tesla T4,NVIDIA,11113,67163.0,,2020
RX 5600,AMD,11030,43052.0,,2020
Pro SSG,AMD,10498,,,2018
Instinct MI25 MxGPU,AMD,10466,18731.0,,2020
GTX 1070 (Mobile),NVIDIA,10465,,,2019
Pro 5600M,AMD,10200,41841.0,,2020
GTX 1660 Ti (Mobile),NVIDIA,10176,,,2019
RTX A2000 Laptop GPU,NVIDIA,10148,55227.0,,2021
Tesla M40,NVIDIA,10117,38024.0,,2021
R9 Fury X,AMD,10088,,,2020
GTX 1060,NVIDIA,10070,27131.0,6.0,2016
GTX 1650 SUPER,NVIDIA,10032,53390.0,,2019
GTX 1070 with Max Q Design,NVIDIA,10030,39756.0,,2017
RTX A3000 12GB Laptop GPU,NVIDIA,9975,,,2022
Quadro P4200,NVIDIA,9827,37922.0,,2018
RTX 2060 with Max Q Design,NVIDIA,9743,60347.0,,2020
R9 Fury + Fury X,AMD,9741,,,2015
GTX 1060 3GB,NVIDIA,9728,28336.0,3.0,2016
GTX 970,NVIDIA,9688,25691.0,,2014
RX 590,AMD,9665,49946.0,,2018
R9 Fury,AMD,9551,60301.0,,2015
R9 390X,AMD,9503,,8.0,2016
Quadro P2200,NVIDIA,9486,32281.0,,2019
Ryzen 9 4900HSS,AMD,9461,,,2021
RTX 3050 Ti Laptop GPU,NVIDIA,9452,60428.0,,2021
RX 6500 XT,AMD,9445,46252.0,,2022
GTX 780 Ti,NVIDIA,9312,21560.0,3.0,2013
Pro W5500,AMD,9269,36343.0,,2020
Quadro M5000,NVIDIA,9262,28723.0,,2015
Quadro P3200 with Max Q Design,NVIDIA,9242,31434.0,,2018
GTX TITAN Z,NVIDIA,9189,21053.0,,2014
RX 5500 XT,AMD,9188,38803.0,,2019
GTX TITAN Black,NVIDIA,9140,20240.0,,2014
RX 6600M,AMD,9094,55682.0,,2021
Quadro P4000 with Max Q Design,NVIDIA,9083,,,2017
RTX 3050 Laptop GPU,NVIDIA,9037,53639.0,,2021
RX 6800M,AMD,9012,74528.0,,2021
R9 390,AMD,9008,47961.0,8.0,2016
RX 580,AMD,8907,45400.0,,2017
Ryzen 7 4800HS,AMD,8842,,,2021
RX 5500,AMD,8817,37402.0,,2019
R9 290X,AMD,8794,46018.0,4.0,2020
Quadro RTX 3000 with Max Q Design,NVIDIA,8754,59905.0,,2019
GTX 1060 5GB,NVIDIA,8704,33511.0,,2018
RX 480,AMD,8674,45295.0,,2016
Quadro P3200,NVIDIA,8663,31309.0,,2018
GTX 1660 Ti with Max Q Design,NVIDIA,8646,54832.0,,2019
RX590 GME,AMD,8628,,,2020
R9 295X2,AMD,8619,,8.0,2014
Ryzen 9 4900HS,AMD,8572,,,2021
GTX Titan,NVIDIA,8556,,6.0,2013
Ryzen 9 5900HS,AMD,8428,,,2021
R9 290,AMD,8409,,4.0,2020
R9 290X / 390X,AMD,8389,,,2013
Pro Duo,AMD,8324,55841.0,,2016
Pro 5500 XT,AMD,8298,36736.0,,2020
15FF,Unknown,8229,,,2020
GTX 1060 (Mobile),NVIDIA,8161,,,2019
R9 290 / 390,AMD,8150,,,2013
Quadro K6000,NVIDIA,8108,17232.0,12.0,2013
RX 470/570,AMD,8070,,,2016
GTX 780,NVIDIA,8022,17698.0,3.0,2013
RTX 2050,NVIDIA,8007,45986.0,,2022
Ryzen 5 4600HS,AMD,7942,,,2021
Quadro M5500,NVIDIA,7915,,,2016
GTX 1060 with Max Q Design,NVIDIA,7907,30110.0,,2017
T1200 Laptop GPU,Unknown,7884,41258.0,,2021
T1000,Unknown,7829,36253.0,,2021
Pro WX 7100,AMD,7822,37123.0,,2016
GTX 1650,NVIDIA,7807,38160.0,,2019
RX 580X,AMD,7798,41822.0,,2019
Tesla M60,NVIDIA,7771,28425.0,,2017
RX 580 2048SP,AMD,7768,39203.0,,2019
T1000 8GB,Unknown,7760,38230.0,,2022
Pro 580,AMD,7753,45401.0,,2018
FirePro W9100,AMD,7719,43046.0,16.0,2014
RX 5300,AMD,7611,39363.0,,2021
Pro 580X,AMD,7540,40277.0,,2019
Pro 5300,AMD,7522,33776.0,,2020
Tesla M6,NVIDIA,7509,,,2018
GTX 1650 Ti,NVIDIA,7490,43651.0,,2020
Ryzen 7 5800HS with Radeon,AMD,7391,,,2021
FirePro W8100,AMD,7327,34705.0,,2014
RadeonT RX 5300,AMD,7321,,,2021
GTX 980M,NVIDIA,7317,23799.0,,2014
Tesla P100 PCIE 16GB,NVIDIA,7225,74400.0,,2019
Quadro T2000,NVIDIA,7169,38419.0,,2019
RX 5600M,AMD,7157,45916.0,,2020
Quadro P2000,NVIDIA,7096,22896.0,,2017
Ryzen 7 4800HS with Radeon,AMD,6999,,,2020
GTX 1650 (Mobile),NVIDIA,6969,,,2019
RX 6400,AMD,6958,,,2022
Quadro T2000 with Max Q Design,NVIDIA,6871,38798.0,,2020
Quadro M5000M,NVIDIA,6807,21979.0,,2016
Pro 5500M,AMD,6763,30531.0,,2019
RX Vega M GH,AMD,6734,30311.0,,2018
T600 Laptop GPU,Unknown,6725,35318.0,,2021
GTX 970XM FORCE,NVIDIA,6707,,,2018
R9 285,AMD,6680,,,2021
Quadro M4000,NVIDIA,6644,18663.0,8.0,2015
Quadro T1000 with Max Q Design,NVIDIA,6589,31583.0,,2020
Quadro P3000,NVIDIA,6572,24325.0,,2017
Quadro M4000M,NVIDIA,6530,21785.0,,2015
Quadro T1000,NVIDIA,6513,32285.0,,2019
T600,Unknown,6509,26973.0,,2021
GTX 1650 Ti with Max Q Design,NVIDIA,6342,39533.0,,2020
Pro 570,AMD,6337,31996.0,,2019
GTX 1050 Ti,NVIDIA,6314,17968.0,,2016
R9 280X,AMD,6284,,3.0,2016
FirePro S7150,AMD,6276,31599.0,,2016
R9 380,AMD,6275,31820.0,2.0,2016
R9 380X,AMD,6189,,4.0,2015
FirePro W9000,AMD,6138,31775.0,6.0,2012
Pro WX Vega M GL,AMD,6049,17282.0,,2019
GTX 960,NVIDIA,6042,17502.0,,2015
P106 100,Unknown,5967,35062.0,,2019
GTX 1050 Ti (Mobile),NVIDIA,5919,,,2019
PRO W6400,AMD,5916,,,2022
GTX 770,NVIDIA,5892,14295.0,2.0,2013
GTX 1650 with Max Q Design,NVIDIA,5884,35710.0,,2019
Pro 5300M,AMD,5840,24901.0,,2019
A16,Unknown,5797,,,2022
Quadro K5200,NVIDIA,5780,14087.0,8.0,2014
GTX 970M,NVIDIA,5761,20017.0,,2014
Pro WX 7130,AMD,5722,41335.0,,2020
Quadro M3000M,NVIDIA,5678,16849.0,,2015
Tesla K20m,NVIDIA,5675,16155.0,,2022
R9 280,AMD,5668,36308.0,3.0,2016
GTX 690,NVIDIA,5654,12715.0,4.0,2012
A40 12Q,Unknown,5573,125986.0,,2022
HD 7990,AMD,5566,,6.0,2013
R9 285 / 380,AMD,5550,,,2015
GTX 680,NVIDIA,5535,13584.0,2.0,2012
Pro WX 5100,AMD,5511,28354.0,,2016
Tesla K20Xm,NVIDIA,5428,11752.0,,2022
GTX 760 Ti OEM,NVIDIA,5427,14380.0,,2019
GTX 950,NVIDIA,5392,14937.0,,2015
GTX 1050 Ti with Max Q Design,NVIDIA,5372,19528.0,,2018
FirePro S10000,AMD,5315,32388.0,6.0,2015
GTX 670,NVIDIA,5304,12132.0,2.0,2012
HD 7970 / R9 280X,AMD,5248,,,2012
HD 8990,AMD,5214,,,2013
GTX 760 Ti,NVIDIA,5206,,,2014
Ryzen 7 4800H,AMD,5178,,,2021
FirePro W7100,AMD,5175,25880.0,,2015
Q12U 1,Unknown,5164,,,2016
R9 M295X,AMD,5150,28822.0,,2014
Pro Vega 20,AMD,5117,26681.0,,2018
GTX 1050,NVIDIA,5090,15389.0,2.0,2016
MX550,NVIDIA,5090,36084.0,,2022
FirePro S9000,AMD,5059,,6.0,2015
Ryzen 9 5900HS with Radeon,AMD,5049,,,2021
T550 Laptop GPU,Unknown,5000,,,2022
R9 M395,AMD,4991,25145.0,,2015
EIZO Quadro MED XN51LP,NVIDIA,4955,,,2018
Barco MXRT 7600,Unknown,4944,,,2018
R9 270X,AMD,4923,28112.0,2.0,2013
FirePro S9050,AMD,4901,,12.0,2020
GRID RTX6000P 6Q,NVIDIA,4777,26590.0,,2021
GTX 760,NVIDIA,4775,10704.0,2.0,2013
R9 M395X,AMD,4775,29766.0,,2015
HD 7950 / R9 280,AMD,4765,,,2012
Sky 500,AMD,4736,,4.0,2019
R9 370,AMD,4722,25545.0,,2016
Pro Vega 16,AMD,4683,21811.0,,2019
HD 7870,AMD,4661,,2.0,2012
Quadro P2000 with Max Q Design,NVIDIA,4597,18802.0,,2018
B8DKMDAP,Unknown,4557,,,2018
GTX 580,NVIDIA,4538,14740.0,1.5,2012
Pro 465,AMD,4538,,,2019
R7 370,AMD,4479,23976.0,2.0,2016
HD 7870 XT,AMD,4470,,2.0,2013
Quadro P1000,NVIDIA,4466,14754.0,,2017
GTX 1050 (Mobile),NVIDIA,4462,,,2019
P104 100,Unknown,4450,44280.0,,2020
Citrix Indirect Display Adapter,Unknown,4447,,,2018
GTX 660 Ti,NVIDIA,4367,11792.0,2.0,2012
Quadro M2200,NVIDIA,4342,14943.0,,2017
FirePro W7000 Adapter,AMD,4340,,,2013
GRID GTX P40 6,NVIDIA,4340,,,2020
Quadro K4200,NVIDIA,4337,9517.0,4.0,2014
Barco MXRT 7500,Unknown,4319,,,2015
R9 270,AMD,4306,22331.0,2.0,2018
GRID RTX6000P 4Q,NVIDIA,4283,,,2020
FirePro W7000,AMD,4276,21082.0,4.0,2012
GTX 680MX,NVIDIA,4271,6981.0,2.0,2013
R9 270 / R7 370,AMD,4260,,,2013
GTX 775M,NVIDIA,4208,4804.0,,2013
FirePro S7000,AMD,4166,,4.0,2014
GRID V100D 8Q,Unknown,4156,,,2019
FirePro W8000,AMD,4138,,4.0,2013
RX 460,AMD,4114,19421.0,,2016
GTX 480,NVIDIA,4110,12241.0,1.5,2012
HD 7800 serie,AMD,4029,,,2014
RX 5500M,AMD,4010,35508.0,,2020
GTX 660,NVIDIA,4004,9026.0,2.0,2012
GRID RTX8000 4Q,NVIDIA,3961,,,2020
Quadro M2000,NVIDIA,3942,14473.0,,2016
GTX 750 Ti,NVIDIA,3919,10754.0,2.0,2014
GTX 570,NVIDIA,3902,12316.0,1.25,2012
Quadro K5000,NVIDIA,3901,7834.0,4.0,2012
T400 4GB,Unknown,3887,16406.0,,2022
Quadro K2200M,NVIDIA,3877,10787.0,,2015
GTX 880M,NVIDIA,3876,10952.0,,2014
HD 8970M,AMD,3876,,2.0,2014
GRID RTX8000P 2Q,NVIDIA,3843,,,2020
HD 7850,AMD,3826,,2.0,2012
GTX 965M,NVIDIA,3824,15613.0,,2015
GTX 1050 with Max Q Design,NVIDIA,3785,16312.0,,2018
HD 7970M,AMD,3774,22410.0,2.0,2012
Pro WX 4100,AMD,3766,19881.0,,2017
GTX 780M,NVIDIA,3755,7880.0,4.0,2013
MX450,NVIDIA,3743,28449.0,,2020
Pro 560X,AMD,3678,18735.0,,2018
Quadro P620,NVIDIA,3640,12042.0,,2018
T400,Unknown,3627,16633.0,,2021
T500,Unknown,3597,28607.0,,2021
RX 560,AMD,3594,20090.0,,2017
GRID RTX8000 2Q,NVIDIA,3574,,,2021
GTX 680M KY Bullet Edition,NVIDIA,3569,,,2017
RX 5300M,AMD,3562,27246.0,,2020
Quadro K2200,NVIDIA,3541,11602.0,4.0,2014
Quadro M2000M,NVIDIA,3539,10635.0,,2015
Tesla C2050,NVIDIA,3515,,3.0,2010
Quadro 7000,NVIDIA,3505,,,2011
Tesla M10,NVIDIA,3490,12054.0,,2019
Pro 560,AMD,3475,16506.0,,2017
Pro 460,AMD,3453,16572.0,,2017
Tesla C2050 / C2070,NVIDIA,3428,,,2013
GTX 960M,NVIDIA,3419,11552.0,,2015
R9 M470X,AMD,3400,,,2016
GTX 750,NVIDIA,3399,8861.0,1.0,2014
GRID K520,Unknown,3399,10864.0,,2013
GTX 870M,NVIDIA,3380,9406.0,,2014
R9 M290X,AMD,3375,24060.0,4.0,2014
HD8970M,AMD,3369,24919.0,,2014
E8870PCIe,AMD,3368,,,2017
Quadro M1200,NVIDIA,3342,10142.0,,2017
GTX 650 Ti BOOST,NVIDIA,3330,8482.0,,2013
Quadro P600,NVIDIA,3324,10716.0,,2017
RX Vega M GL,AMD,3315,21344.0,,2018
GTX 590,NVIDIA,3307,11950.0,3.0,2011
Quadro K5100M,NVIDIA,3266,6450.0,8.0,2014
770M,NVIDIA,3246,,,2016
R9 M485X,AMD,3204,,,2017
RX 560X,AMD,3181,20394.0,,2018
RadeonT RX 5500M,AMD,3166,,,2019
FirePro V7000,AMD,3162,,,2013
FirePro W7170M,AMD,3162,,,2016
GTX 470,NVIDIA,3147,10408.0,1.25,2012
R7 260X,AMD,3147,,2.0,2013
Pro 555,AMD,3141,14108.0,,2017
Ryzen 9 5900HX,AMD,3126,,,2021
Tesla C2075,NVIDIA,3118,9885.0,6.0,2012
Pro 455,AMD,3113,12489.0,,2018
Tesla C2070,NVIDIA,3101,9716.0,6.0,2011
G35 Express,Intel,3090,,,2010
HD 7790,AMD,3090,,1.0,2013
GTX 680M,NVIDIA,3077,6600.0,4.0,2012
FirePro W5000,AMD,3056,14671.0,2.0,2012
GTX 560 Ti,NVIDIA,3056,9263.0,1.0,2012
GTX 860M,NVIDIA,3045,9555.0,,2014
EIZO MED X5000,Unknown,3038,,,2022
R7 360,AMD,3034,17786.0,2.0,2015
R9 360,AMD,3032,14815.0,,2015
R9 M390X,AMD,3021,22044.0,,2016
R9 260,AMD,3018,,,2016
HD 6990,AMD,3013,,4.0,2011
Quadro M1000M,NVIDIA,2987,8402.0,,2015
Ryzen 9 5900HX with Radeon,AMD,2968,,,2021
FirePro W5100,AMD,2957,15004.0,,2014
GRID K260Q,Unknown,2949,,,2015
R9 M380,AMD,2931,16667.0,,2015
R7 260,AMD,2892,,2.0,2014
Ryzen 7 PRO 4700G with Radeon,AMD,2880,,,2020
Quadro K1200,NVIDIA,2874,8934.0,,2015
FirePro W4300,AMD,2863,,,2016
HD 6970,AMD,2863,,2.0,2012
MX350,NVIDIA,2855,13442.0,,2020
Pro V340 MxGPU,AMD,2853,,,2018
Quadro M620,NVIDIA,2845,8425.0,,2017
GRID K280Q,Unknown,2840,,,2015
Ryzen 7 5800H with Radeon,AMD,2833,,,2021
Custom GPU 0405,Unknown,2832,,,2022
FirePro 3D V9800,AMD,2812,,,2011
GTX 770M,NVIDIA,2786,5768.0,3.0,2013
Iris Xe,Intel,2782,,,2020
Ryzen 7 5700G,AMD,2782,,,2021
Ryzen 7 PRO 5750GE,AMD,2771,,,2021
Ryzen 7 5800H,AMD,2759,,,2021
Quadro K4100M,NVIDIA,2756,6002.0,,2013
Ryzen 9 5900H,AMD,2755,,,2022
Quadro K5000M,NVIDIA,2754,5107.0,4.0,2012
Ryzen 5 4600H,AMD,2747,,,2021
GRID K2,Unknown,2737,6922.0,,2013
FirePro V9800,AMD,2727,,4.0,2016
Pro 450,AMD,2723,10708.0,,2017
RX 550,AMD,2718,16230.0,,2017
Ryzen 9 4900H with Radeon,AMD,2714,,,2020
GTX 560,NVIDIA,2711,8094.0,1.0,2012
Ryzen 7 5700G with Radeon,AMD,2709,,,2021
Barco MXRT 5500,Unknown,2702,,,2018
Quadro K4000,NVIDIA,2700,5526.0,,2012
Ryzen 5 5600H,AMD,2696,,,2021
Quadro 6000,NVIDIA,2689,8990.0,6.0,2010
Ryzen 9 4900H,AMD,2685,,,2021
Ryzen 7 Pro 4750G with Radeon,AMD,2682,,,2020
GTX 465,NVIDIA,2681,8081.0,1.0,2012
Ryzen 7 5700GE with Radeon,AMD,2675,,,2021
FirePro M6100 FireGL V,AMD,2656,,,2017
HD 6950,AMD,2650,5252.0,2.0,2012
FirePro R5000,AMD,2647,,,2016
MONSTER GeForce GTX 675M,NVIDIA,2637,,,2013
