gpu_name,manufacturer,benchmark_score,graphics_api_score,vram_gb,release_year
Pro WX 3100,AMD,2627,12386.0,,2017
Pro,AMD,2615,,,2021
Ryzen 7 PRO 5750GE with Radeon,AMD,2613,,,2021
UHD 770,Intel,2611,,,2021
Ryzen 7 PRO 4750G,AMD,2604,,,2021
GTX 950M,NVIDIA,2602,9672.0,,2015
Ryzen 5 5600GE with Radeon,AMD,2602,,,2021
Ryzen 5 5600G with Radeon,AMD,2595,,,2021
Ryzen 7 PRO 5750G with Radeon,AMD,2591,,,2021
Ryzen 7 4700G,AMD,2580,,,2021
GTX 850M,NVIDIA,2574,9648.0,,2014
Ryzen 7 PRO 4750GE with Radeon,AMD,2550,,,2020
MX330,NVIDIA,2547,10134.0,,2020
GT 1030,NVIDIA,2545,10407.0,2.0,2017
Ryzen 5 5600G,AMD,2545,,,2021
GRID K240Q,Unknown,2541,,,2014
UHD P630,Intel,2541,,,2018
HD 6850 X2,AMD,2534,3977.0,,2017
Ryzen 9 5980HS with Radeon,AMD,2534,,,2021
FireStream 9370,Unknown,2528,,4.0,2012
GTX 650 Ti,NVIDIA,2527,6484.0,1.0,2012
N18E Q1,Unknown,2525,,,2018
MX250,NVIDIA,2515,9957.0,,2019
Ryzen 5 PRO 5650G with Radeon,AMD,2513,,,2021
Ryzen 7 4700GE,AMD,2508,,,2021
Ryzen 5 PRO 5650GE with Radeon,AMD,2506,,,2021
Ryzen 7 4700GE with Radeon,AMD,2496,,,2020
GTX 950A,NVIDIA,2483,10489.0,,2015
Ryzen 7 5800U with Radeon,AMD,2467,,,2021
Pro WX 3200,AMD,2456,16075.0,,2019
Ryzen 7 PRO 5850U with Radeon,AMD,2440,,,2021
FirePro 3D V8800,AMD,2438,,,2010
Ryzen 5 PRO 4650G,AMD,2418,,,2021
GTX 960A,NVIDIA,2411,,,2015
P106 090,Unknown,2402,20157.0,,2020
RX Vega 11 PRD,AMD,2402,,,2019
Ryzen 3 4300GE with Radeon,AMD,2402,,,2020
Ryzen 5 Pro 4650G with Radeon,AMD,2395,,,2020
Ryzen 5 5600H with Radeon,AMD,2387,,,2021
Ryzen 3 5300GE with Radeon,AMD,2386,,,2021
GTX 580M,NVIDIA,2373,5837.0,2.0,2011
RX 550X,AMD,2370,12726.0,,2019
Ryzen 5 PRO 5650GE,AMD,2363,,,2021
GTX 485M,NVIDIA,2360,,2.0,2011
Ryzen 7 4800U with Radeon,AMD,2344,,,2020
Ryzen 3 PRO 5350G with Radeon,AMD,2341,,,2021
Ryzen 3 PRO 5350GE with Radeon,AMD,2341,,,2021
GTX 675MX,NVIDIA,2338,5280.0,2.0,2013
Ryzen 7 PRO 5850U,AMD,2333,,,2021
Ryzen 7 5800U,AMD,2321,,,2021
FirePro V7900,AMD,2310,,2.0,2011
MX150,NVIDIA,2310,10042.0,,2017
Ryzen 3 4300GE,AMD,2306,,,2021
Ryzen 5 PRO 4400G with Radeon,AMD,2306,,,2020
Ryzen 7 Microsoft Surface Edition,AMD,2298,,,2021
GTX 460,NVIDIA,2289,6630.0,1.0,2012
Ryzen 7 5700U with Radeon,AMD,2289,,,2021
R9 M470,AMD,2288,,,2016
Ryzen 7 4800U,AMD,2273,,,2021
Pro Ryzen 7 PRO 5850U,AMD,2271,,,2021
HD 6970M,AMD,2270,3349.0,2.0,2011
R7 250X,AMD,2269,13420.0,2.0,2015
HD 8950,AMD,2267,17996.0,,2014
HD 5870,AMD,2266,1531.0,,2012
Quadro K3100M,NVIDIA,2263,3830.0,4.0,2013
HD 5970,AMD,2249,,,2012
Quadro K620,NVIDIA,2246,6696.0,1.0,2014
FirePro V8800,AMD,2223,,,2020
HD 6870,AMD,2223,4950.0,1.0,2012
Ryzen 3 5300G with Radeon,AMD,2223,,,2021
Ryzen 5 PRO 5650G,AMD,2212,,,2021
HD 7770,AMD,2204,13536.0,,2012
Ryzen 7 PRO 4750GE,AMD,2200,,,2021
Ryzen 3 Pro 4350G with Radeon,AMD,2190,,,2020
Ryzen 7 4700G with Radeon,AMD,2187,,,2020
Ryzen 5 4600G,AMD,2186,,,2021
RadeonT R7 450,AMD,2185,,,2017
Ryzen 5 PRO 5650U with Radeon,AMD,2184,,,2021
Ryzen 3 PRO 4350GE with Radeon,AMD,2181,,,2020
GTX 745,NVIDIA,2175,5402.0,,2014
Iris Pro P580,Intel,2169,,,2016
Ryzen 3 PRO 4350G,AMD,2162,,,2021
Ryzen 5 5600U with Radeon,AMD,2160,,,2021
Ryzen 7 Extreme Edition,Unknown,2158,,,2020
Ryzen 7 PRO 5750G,AMD,2154,,,2021
Ryzen Embedded V2718,AMD,2149,,,2021
Ryzen 5 PRO 5650U,AMD,2138,,,2021
Ryzen 7 4850U Mobile,AMD,2138,,,2022
RX Vega 11,AMD,2137,14540.0,,2018
Quadro P520,NVIDIA,2126,8283.0,,2019
Ryzen 7 4800H with Radeon,AMD,2113,,,2020
TM R9 A360,AMD,2105,,,2016
FirePro M5100,AMD,2103,9998.0,2.0,2014
Ryzen 5 Microsoft Surface Edition,AMD,2093,,,2021
GTX 560 SE,NVIDIA,2087,6235.0,,2012
Ryzen 5 4600G with Radeon,AMD,2062,,,2020
Quadro 5000M,NVIDIA,2060,,2.0,2010
GTX 480M,NVIDIA,2051,,2.0,2010
Ryzen 7 4700U,AMD,2044,,,2021
Ryzen 5 PRO 4650GE,AMD,2038,,,2021
FirePro V7800,AMD,2034,4894.0,2.0,2018
Ryzen 7 4700U with Radeon,AMD,2033,,,2020
Ryzen 7 PRO 4750U with Radeon,AMD,2028,,,2020
Ryzen 7 PRO 4750U,AMD,2024,,,2021
R9 M385,AMD,2018,,,2020
Ryzen 5 5600U,AMD,2015,,,2021
Pro W5500M,AMD,2010,,,2020
Quadro M600M,NVIDIA,2008,5969.0,,2015
Ryzen 5 PRO 4500U with Radeon,AMD,2008,,,2020
R9 350,AMD,2007,10504.0,,2016
GT 645,NVIDIA,2006,,,2012
GTX 460 v2,NVIDIA,2005,7872.0,1.0,2011
Ryzen 5 5500U with Radeon,AMD,2001,,,2021
Iris Pro 580,Intel,1993,,,2016
Quadro 5000,NVIDIA,1982,6232.0,2.5,2010
R7 + R7 350 Dual,AMD,1982,,,2016
Quadro M520,NVIDIA,1981,7031.0,,2017
HD 6850,AMD,1979,,1.0,2012
Ryzen 5 PRO 4650GE with Radeon,AMD,1977,,,2020
GTX 460 SE,NVIDIA,1974,5358.0,1.0,2012
Iris Xe MAX,Intel,1973,,,2022
GTX 765M,NVIDIA,1972,5179.0,2.0,2013
HD 5850,AMD,1966,,,2012
R7 450,AMD,1966,10240.0,,2016
R9 M275X,AMD,1963,11041.0,2.0,2021
R7 + HD 7700 Dual,AMD,1962,,,2014
UHD ReleaseInternal,Intel,1959,,,2022
550,AMD,1959,11886.0,,2022
HD 7660D + HD 7700 Dual,AMD,1958,,,2015
GTX 470M,NVIDIA,1953,,1.5,2010
Ryzen 5 4600U with Radeon,AMD,1951,,,2020
Quadro K4000M,NVIDIA,1949,4706.0,4.0,2012
FirePro M6100,AMD,1945,16282.0,2.0,2013
945M,NVIDIA,1945,8099.0,,2015
Ryzen 5 4600H with Radeon,AMD,1939,,,2020
Pro WX 4150,AMD,1935,14094.0,,2017
GTX 675M,NVIDIA,1934,5752.0,2.0,2012
R9 M385X,AMD,1929,,,2019
RX 570X,AMD,1923,38939.0,,2020
HD 7560D + 7700 Dual,AMD,1919,,,2014
GTX 570M,NVIDIA,1910,,1.5,2011
GTX 670MX,NVIDIA,1906,5674.0,3.0,2012
Matrox C680 PCIe x16,Unknown,1904,,,2014
Ryzen 3 4300G with Radeon,AMD,1903,,,2020
HD 7700 serie,AMD,1899,,,2012
MX130,NVIDIA,1895,6957.0,,2018
HD 8670D + HD 7700 Dual,AMD,1892,,,2017
Quadro 5010M,NVIDIA,1891,,4.0,2011
MX230,NVIDIA,1884,7059.0,,2019
Pro WX 4130,AMD,1881,7588.0,,2017
FirePro 3D V7800,AMD,1867,,,2010
GTX 645,NVIDIA,1858,3854.0,,2013
945A,NVIDIA,1852,,,2019
Iris Plus,Intel,1850,8271.0,,2019
Vega 11,AMD,1847,12389.0,,2019
R9 M375X,AMD,1843,9759.0,,2016
FirePro M5100 FireGL V,AMD,1839,,,2015
HD 8570D + HD 7700 Dual,AMD,1835,,,2014
MxGPU,Unknown,1826,11673.0,,2017
FirePro M6000,AMD,1820,9420.0,,2012
Ryzen 5 4500U with Radeon,AMD,1813,,,2020
Matrox C900 PCIe x16,Unknown,1812,,,2016
RadeonT RX 560X,AMD,1810,,,2019
GTX 555,NVIDIA,1807,,,2012
RadeonT 540X,AMD,1804,,,2020
Ryzen 5 4600U,AMD,1802,,,2021
HD 8870M / R9 M270X / M370X,AMD,1800,,,2014
RX Vega 11 Processor,AMD,1800,12716.0,,2021
Ryzen 5 4500U,AMD,1800,,,2021
Ryzen 3 PRO 4200G with Radeon,AMD,1799,,,2021
Embedded Radeon E9173,AMD,1798,,,2018
Iris 650,Intel,1795,,,2017
RX 540,AMD,1793,10620.0,,2017
HD 8670D + 7700 Dual,AMD,1789,,,2013
Ryzen 3 PRO 4200GE with Radeon,AMD,1784,,,2020
GTX 670M,NVIDIA,1775,5785.0,1.5,2012
UHD 750,Intel,1775,,,2021
Iris Plus 655,Intel,1772,,,2018
GTX 650,NVIDIA,1769,3730.0,,2012
Pro WX 2100,AMD,1755,11050.0,,2017
R9 M360,AMD,1753,10147.0,,2016
FirePro W600,AMD,1752,,,2013
UHD P750,Intel,1744,,,2021
Iris Plus 645,Intel,1742,,,2019
HD 5830,AMD,1735,,1.0,2012
Ryzen 3 5400U with Radeon,AMD,1734,,,2021
RX Vega11,AMD,1717,11576.0,,2019
Ryzen 3 PRO 4200GE,AMD,1712,,,2021
HD 6900M,AMD,1710,3259.0,,2012
FirePro M6000 Mobility Pro,AMD,1709,,,2013
Ryzen 5 PRO 4650U,AMD,1699,,,2021
HD 7750,AMD,1696,,,2012
Ryzen 5 PRO 4650U with Radeon,AMD,1696,,,2020
RX Vega 10,AMD,1694,9811.0,,2019
GTX 760M,NVIDIA,1691,4903.0,2.0,2013
Qualcomm Adreno 8cx Gen 3,Qualcomm,1670,,,2022
R7 M380,AMD,1669,,,2017
Vega 9,AMD,1669,9624.0,,2019
Iris Pro P6300,Intel,1654,,,2016
HD HD7850M,AMD,1652,,,2015
HD 8870M,AMD,1638,9065.0,2.0,2014
Quadro K3000M,NVIDIA,1626,2712.0,2.0,2012
E8860,AMD,1626,,,2015
Ryzen 3 5300U with Radeon,AMD,1626,,,2021
R7 M465X,AMD,1624,,,2018
Ryzen 7 2700U with Radeon Vega,AMD,1617,,,2018
Quadro K2000D,NVIDIA,1614,3602.0,,2013
Quadro P400,NVIDIA,1614,5631.0,,2017
HD 6790,AMD,1613,,1.0,2011
GT 755M,NVIDIA,1610,2944.0,2.0,2013
Seria Radeon HD 7700,AMD,1604,,,2015
FirePro M4000,AMD,1597,6494.0,2.0,2012
Ryzen 3 4300G,AMD,1596,,,2021
Vega 8,AMD,1593,8860.0,,2018
FirePro M4000 Mobility Pro,AMD,1591,,,2015
UHD,Intel,1582,5604.0,,2018
Iris Plus 650,Intel,1575,,,2017
R9 M275X / M375,AMD,1575,,,2014
Quadro K2000,NVIDIA,1567,3220.0,,2013
RadeonT RX 640,AMD,1565,,,2021
GTX 550 Ti,NVIDIA,1557,5305.0,1.0,2012
Vega 10,AMD,1557,9342.0,,2019
Ryzen 3 PRO 5450U with Radeon,AMD,1556,,,2021
Firepro W5170M,AMD,1555,,,2015
HD 7560D + HD 6670 Dual,AMD,1555,,,2014
UHD 730,Intel,1553,,,2021
RX Vega 8,AMD,1552,10995.0,,2018
GTX 285,NVIDIA,1550,,1.0,2009
HD 8470D + HD 7500 Dual,AMD,1545,,,2018
Ryzen 3 PRO 4300U with Radeon,AMD,1543,,,2020
FirePro W4100,AMD,1541,7214.0,,2014
FirePro V8700,AMD,1539,,1.0,2015
Ryzen 3 PRO 4450U with Radeon,AMD,1538,,,2020
RX 640,AMD,1537,15871.0,,2020
HD 4890,AMD,1533,,1.0,2012
GT 740,NVIDIA,1529,3915.0,2.0,2014
FirePro W6150M,AMD,1515,,,2021
Quadro P500,NVIDIA,1508,6262.0,,2018
HD 7870M,AMD,1507,,2.0,2012
Ryzen 3 PRO 4450U,AMD,1505,,,2021
940MX,NVIDIA,1503,6256.0,,2016
Ryzen 5 2500U with Radeon Vega,AMD,1503,,,2018
HD 6670 + 7660D Dual,AMD,1492,,,2015
Quadro 4000,NVIDIA,1489,4183.0,2.0,2010
HD 7660D + HD 6670 Dual,AMD,1485,,,2014
R9 255,AMD,1485,,,2014
R9 M365X,AMD,1482,,,2017
MX110,NVIDIA,1469,4460.0,,2017
Vega 10 Mobile,AMD,1465,9499.0,,2017
Ryzen 3 PRO 4350GE,AMD,1464,,,2021
Ryzen 5 PRO 4400GE with Radeon,AMD,1442,,,2020
Vega 8 Mobile,AMD,1438,7458.0,,2017
HD 8470D + HD 6670 Dual,AMD,1436,,,2017
845M,NVIDIA,1430,6112.0,,2015
550X,AMD,1430,10870.0,,2019
Iris Pro Graphics 6200,Intel,1429,5797.0,,2015
HD 7560D + 7670 Dual,AMD,1426,,,2012
R7 M370,AMD,1418,6628.0,,2016
GTX 660M,NVIDIA,1414,3039.0,2.0,2012
Ryzen 5 4600GE,AMD,1412,,,2022
Pro WX 4170,AMD,1409,20842.0,,2019
Ryzen 3 PRO 5350G,AMD,1408,,,2022
Ryzen 3 5300G,AMD,1406,,,2021
GTX 275,NVIDIA,1401,,0.88,2012
540X,AMD,1398,8600.0,,2019
HD 4870,AMD,1391,,0.5,2012
HD 7560D + HD 7670 Dual,AMD,1380,,,2014
R7 PRO A12 8870,AMD,1376,,,2017
R9 M370X,AMD,1374,11091.0,,2015
HD 7850M,AMD,1373,,2.0,2012
FirePro M40003,AMD,1364,,,2012
HD 8670D + 6670 Dual,AMD,1361,,2.0,2013
HD 5770,AMD,1351,1000.0,,2012
Quadro K2100M,NVIDIA,1348,3051.0,,2013
Ryzen 3 4300U with Radeon,AMD,1348,,,2020
HD 7560D + HD 7700 Dual,AMD,1347,,,2015
Iris 550,Intel,1344,,,2016
FirePro W5130M,AMD,1341,8058.0,,2016
FireStream 9270,Unknown,1341,,2.0,2014
Iris Plus 640,Intel,1333,,,2017
GTS 450,NVIDIA,1321,4501.0,1.0,2012
HD 8670D + HD 7600 Dual,AMD,1318,,,2017
FirePro M5950,AMD,1314,1505.0,1.0,2011
GT 750M,NVIDIA,1313,2748.0,2.0,2013
R7 PRO A8 8670E,AMD,1310,,,2017
Ryzen 3 4300U,AMD,1310,,,2021
HD 4870 X2,AMD,1309,,2.0,2012
Quadro 4000M,NVIDIA,1307,4216.0,2.0,2011
HD 8790M,AMD,1306,7310.0,2.0,2014
Tesla M2070 Q,NVIDIA,1306,,,2014
930MX,NVIDIA,1302,5577.0,,2016
Ryzen Embedded V2748,AMD,1296,,,2021
Vega 6,AMD,1296,6900.0,,2018
UHD 630,Intel,1293,,,2017
R7 A370,AMD,1281,,,2016
R7 A10 7870K,AMD,1280,,,2015
540,AMD,1273,7762.0,,2017
FirePro 3D V8750,AMD,1272,,,2009
FirePro V5900,AMD,1271,2880.0,2.0,2011
GTX 560M,NVIDIA,1266,4284.0,1.5,2011
HD 8570D + HD 6670 Dual,AMD,1261,,,2014
HD 7560D + HD 7600 Dual,AMD,1258,,,2017
Iris 540,Intel,1257,,,2015
Quadro FX 5800,NVIDIA,1248,,4.0,2009
630,AMD,1245,9651.0,,2020
Quadro 2000 D,NVIDIA,1239,,,2011
HD 8570D + 6570 Dual,AMD,1239,,,2014
HD 7660D + 6670 Dual,AMD,1238,,,2012
HD P630,Intel,1237,,,2017
HD 7560D + HD 6570 Dual,AMD,1237,,,2014
GPU,NVIDIA,1236,,,2015
R7 + R5 340 Dual,AMD,1235,,,2017
FirePro 3D V5800,AMD,1232,,,2010
R7 + R7 250 Dual,AMD,1232,,,2016
HD 6770,AMD,1231,3269.0,1.0,2011
HD 8670D + HD 6670 Dual,AMD,1222,,,2014
GTX 260,NVIDIA,1221,,0.88,2012
HD 7730,AMD,1217,,1.0,2015
HD 8790M / R9 M290X,AMD,1211,,,2015
FirePro 3D V8700,AMD,1206,,,2010
N16P GX,Unknown,1205,,,2015
HD 7660D + 7540D Dual,AMD,1204,,,2013
R9 M270X,AMD,1204,,2.0,2015
HD P530,Intel,1202,,,2015
GT 650M,NVIDIA,1199,2385.0,1.0,2012
GTX 460M,NVIDIA,1198,3483.0,1.5,2012
HD 7750M,AMD,1191,,1.0,2013
R7 +8G,AMD,1191,,,2016
FirePro V5800,AMD,1186,2740.0,1.0,2016
Ryzen 3 5400U,AMD,1183,,,2021
GT 640,NVIDIA,1182,3450.0,2.0,2011
GTX 280,NVIDIA,1181,,1.0,2012
840A,NVIDIA,1180,5596.0,,2014
GTX 295,NVIDIA,1171,,1.75,2009
R7 Opteron X3421,AMD,1169,,,2017
FireStream 9250,Unknown,1165,,1.0,2013
Barco MXRT 5400,Unknown,1161,,,2016
Coffee Lake UHD,Intel,1158,,,2017
Quadro K620M,NVIDIA,1157,6165.0,,2015
HD 5750,AMD,1156,859.0,,2012
R7 250,AMD,1151,9512.0,,2013
625,AMD,1150,6656.0,,2020
940A,NVIDIA,1145,,,2015
GT 745A,NVIDIA,1144,,,2013
Ryzen 3 PRO 5450U,AMD,1143,,,2022
NVS 810,Unknown,1141,,,2016
HD 8850M / R9 M265X,AMD,1140,,,2016
R7 A10 9700E RADEON,AMD,1138,,,2018
HD 4850 X2,AMD,1132,,,2012
HD 7560D + 6670 Dual,AMD,1131,,,2012
R7 + R7 200 Dual,AMD,1129,6922.0,,2014
R7 FX 9830P RADEON,AMD,1127,,,2016
HD 8650G + 7700M Dual,AMD,1126,,,2014
HD 7660D + 7500 Dual,AMD,1121,,,2013
HD 630,Intel,1118,,,2016
R7 PRO A12 9800,AMD,1117,,,2017
R9 M275,AMD,1115,,,2014
R7 430,AMD,1110,6839.0,,2017
UHD 710,Intel,1107,,,2022
940M,NVIDIA,1106,5848.0,,2015
Quadro 2100M,NVIDIA,1100,,,2013
HD 7660D + 6570 Dual,AMD,1100,,,2013
Quadro M500M,NVIDIA,1098,5621.0,,2016
GT 545,NVIDIA,1096,3261.0,,2012
R5 PRO A6 9500 2C+6G,AMD,1096,,,2017
GTX 850M MODDED,NVIDIA,1092,,,2014
920MX,NVIDIA,1088,4069.0,,2016
Firepro W4190M,AMD,1086,,,2016
930A,NVIDIA,1082,5317.0,,2016
Quadro K1100M,NVIDIA,1082,2159.0,2.0,2013
MIRRORV3,Unknown,1081,,,2019
Barco MXRT 5450,Unknown,1079,,,2013
HD 8450G + 8600/8700M Dual,AMD,1070,,,2013
FirePro M4170,AMD,1067,6347.0,,2015
840M,NVIDIA,1067,5591.0,,2014
"R5 PRO A6 8570 R5, 8 COMPUTE CORES 2C+6G",AMD,1064,,,2021
Mobility Radeon HD 5870,AMD,1062,,1.0,2012
HD 7660D + 7670 Dual,AMD,1062,,1.0,2012
HD 7520G + 7700M Dual,AMD,1061,,,2013
GTX 760A,NVIDIA,1060,,,2015
Firepro M4100,AMD,1059,5067.0,,2015
GT 745M,NVIDIA,1055,3317.0,2.0,2013
OPAL XT/GL,Unknown,1053,,,2015
GTX 850A,NVIDIA,1050,,,2015
HD 7670A,AMD,1050,,1.0,2012
R7 PRO A8 9600,AMD,1049,,,2016
535,AMD,1048,7753.0,,2019
R7 A12 9730P RADEON,AMD,1047,,,2017
R7 + R7 240 Dual,AMD,1045,,,2015
HD 8570D + 6670 Dual,AMD,1040,,,2014
R7 M460,AMD,1038,7310.0,,2016
UHD Graphics 620,Intel,1037,4916.0,,2017
HD 8570D + HD 8570 Dual,AMD,1033,,,2016
HD 8600/8700M,AMD,1030,6686.0,,2014
Vega 3 Mobile,AMD,1029,4468.0,,2017
R7 + R5 330 Dual,AMD,1028,,,2016
Quadro K2000M,NVIDIA,1027,2313.0,2.0,2012
R7 M350,AMD,1027,5924.0,,2016
Quadro 3000M,NVIDIA,1024,2894.0,2.0,2011
R9 A375,AMD,1024,,,2020
Iris Pro 5200,Intel,1020,,,2013
HD 8670D + R7 240 Dual,AMD,1020,,,2014
HD 6700M,AMD,1017,1398.0,,2012
RadeonT R5 430,AMD,1016,,,2017
R5 A6 9500E 2C+4G,AMD,1015,,,2018
930M,NVIDIA,1011,5019.0,,2015
HD 7690M XT,AMD,1009,,1.0,2015
830A,NVIDIA,1005,4315.0,,2014
HD 6750,AMD,1005,,1.0,2011
HD 7690M,AMD,1003,1242.0,1.0,2012
HD 7660G + HD 7500/7600 7500/7600 Dual,AMD,1002,,,2014
"R5 PRO A6 9500 R5, 8 COMPUTE CORES 2C+6G",AMD,1000,,,2021
FirePro M4150,AMD,999,5874.0,,2015
HD 7660G + HD 7500M/7600M Dual,AMD,999,,,2016
HD 8570D + R7 200 Dual,AMD,999,,,2014
HD 7640G + HD 8750M Dual,AMD,997,,,2015
R5 340,AMD,996,5498.0,,2016
HD 8570,AMD,991,7060.0,,2013
Quadro 2000D,NVIDIA,989,3236.0,1.0,2011
R7 A12 9800 RADEON,AMD,989,,,2017
HD 7560D + 7570 Dual,AMD,985,,,2013
HD 530,Intel,984,,,2015
HD 8690M,AMD,984,5887.0,1.0,2015
HD 7560D + 7560D Dual,AMD,983,,,2014
R7 A10 7850K,AMD,982,,,2014
Quadro FX 4800,NVIDIA,979,,1.5,2012
R5 A10 9630P 4C+6G,AMD,977,,,2017
830M,NVIDIA,976,4281.0,,2014
R7 A10 9700 RADEON,AMD,975,,,2017
FirePro V4900,AMD,974,1666.0,,2012
HD 8670D + 8570 Dual,AMD,974,,,2014
HD 8850M,AMD,973,8067.0,2.0,2015
R6 A10 9600P 4C+6G,AMD,970,,,2018
HD 7660G N HD 7660G + HD 7700M N HD 7700M D,AMD,967,,,2013
R7 M465,AMD,965,7339.0,,2017
HD 6770M,AMD,964,448.0,1.0,2011
HD 8570D + R7 240 Dual,AMD,964,,,2014
R7 M270DX,AMD,962,,,2020
R7 PRO A12 8870E,AMD,962,,,2016
GT 645M,NVIDIA,958,2445.0,2.0,2013
R7 A10 PRO 7850B,AMD,958,,,2014
R6 Opteron X3418,AMD,955,,,2019
R7 A265,AMD,955,,,2015
FirePro W4170M,AMD,953,5507.0,2.0,2015
HD 4850,AMD,953,,0.5,2012
Qualcomm Adreno 690 GPU,Qualcomm,952,,,2022
HD 8670D + R7 200 Dual,AMD,950,,,2014
HD 8570 + HD 7660D Dual,AMD,949,,,2013
R7 A8 7500,AMD,948,,,2017
Quadro CX,NVIDIA,947,,1.5,2009
